Name,City,Latitude,Longitude,Address,Rating,SchoolType
Park Elementary School,Mill Valley,37.903568,-122.537407,94941,9,public
Tamalpais Valley Elementary School,Mill Valley,37.873726,-122.527573,94941,9,public
Bel Aire Elementary School,Tiburon,37.903145,-122.496414,94920,9,public
Del Mar Middle School,Tiburon,37.894096,-122.481445,94920,9,public
Ross Elementary School,Ross,37.961319,-122.557999,94957,9,public
Bear River High School,Grass Valley,39.047672,-121.075165,95949,9,public
Cypress High School,Anaheim,33.820095,-118.028915,90630,9,public
William E. Fanning Elementary School,Brea,33.929405,-117.886688,92821,9,public
Aliso Niguel High School,San Juan Capistrano,33.563061,-117.719376,92656,9,public
John Malcom Elementary School,San Juan Capistrano,33.495583,-117.707741,92677,9,public
Wagon Wheel Elementary School,San Juan Capistrano,33.580303,-117.591774,92679,9,public
Havens Elementary School,Piedmont,37.825478,-122.232864,94611,9,public
Piedmont Middle School,Piedmont,37.822075,-122.233749,94611,9,public
Wildwood Elementary School,Piedmont,37.819675,-122.23539,94610,9,public
Amador Valley High School,Pleasanton,37.668198,-121.874023,94566,9,public
Foothill High School,Pleasanton,37.671745,-121.919357,94588,9,public
Cornerstone At Pedregal Elementary School,Palos Verdes Estates,33.787365,-118.384323,90275,9,public
Palos Verdes Intermediate School,Palos Verdes Estates,33.776779,-118.412064,90274,9,public
Henry P. Mohr Elementary School,Pleasanton,37.692245,-121.86013,94588,9,public
Point Vicente Elementary School,Palos Verdes Estates,33.756123,-118.407913,90275,9,public
Silver Spur Elementary School,Palos Verdes Estates,33.789036,-118.375153,90275,9,public
Soleado Elementary School,Palos Verdes Estates,33.773853,-118.367744,90275,9,public
Vista Grande Elementary School,Palos Verdes Estates,33.771095,-118.402,90275,9,public
Alta Vista Elementary School,Redondo Beach,33.828629,-118.377975,90277,9,public
Birney Elementary School,Redondo Beach,33.869576,-118.376274,90278,9,public
Tulita Elementary School,Redondo Beach,33.820473,-118.376579,90277,9,public
Vintage Hills Elementary School,Pleasanton,37.655495,-121.855415,94566,9,public
Carver Elementary School,San Marino,34.126228,-118.088799,91108,9,public
Huntington Middle School,San Marino,34.117802,-118.113228,91108,9,public
Valentine Elementary School,San Marino,34.116962,-118.11483,91108,9,public
Franklin Elementary School,Santa Monica,34.039589,-118.485435,90403,9,public
Webster Elementary School,Santa Monica,34.038708,-118.698685,90265,9,public
Arroyo Vista Elementary School,South Pasadena,34.113285,-118.166779,91030,9,public
Marengo Elementary School,South Pasadena,34.109241,-118.146416,91030,9,public
South Pasadena Senior High School,South Pasadena,34.109772,-118.154404,91030,9,public
South Pasadena Middle School,South Pasadena,34.108074,-118.149666,91030,9,public
Temple City High School,Temple City,34.119453,-118.064713,91780,9,public
Anza Elementary School,Torrance,33.834251,-118.364822,90503,9,public
Seaside Elementary School,Torrance,33.820553,-118.363571,90505,9,public
South High School,Torrance,33.811852,-118.362358,90505,9,public
Walteria Elementary School,Torrance,33.79987,-118.347565,90505,9,public
West High School,Torrance,33.846767,-118.368881,90503,9,public
Cyrus J. Morris Elementary School,Walnut,34.012329,-117.867867,91789,9,public
Quail Summit Elementary School,Walnut,33.994797,-117.81134,91765,9,public
Leonard G. Westhoff Elementary School,Walnut,34.040382,-117.860352,91789,9,public
